id,lead_fname,lead_email,lead_phone,lead_pincode,partner_access_id,timestamp,order_id,invoice_url,order_status,order_delivery_date,api_method,flag,error_status
1,Briana,hprice@hotmail.com,+91 83275 45339,500078,EPG4QS,2019-11-01 00:00:00 UTC,GSS001,a,delivered,03-Sep-21,afas,no,yes
2,Jeremy,lakin.susie@yahoo.com,+91 61215 28947,122004,CMZ246,2019-11-01 00:00:00 UTC,GSS002,b,pending,05-Sep-21,awefaw,yes,no
3,Victoria,vgulgowski@jenkins.biz,+91 88448 99931,560026,6E9QJ8,2019-11-01 00:00:01 UTC,GSS003,c,transit,04-Sep-21,waead,yes,no
4,Jessica,goldner.otho@gmail.com,+91 61279 65764,243001,NSL0T0,2019-11-01 00:00:01 UTC,GSS004,a,delivered,06-Sep-21,waw,no,yes
5,Eric,angelica79@gmail.com,+91 61279 58822,411045,AZI9I0,2019-11-01 00:00:01 UTC,GSS005,f,pending,05-Sep-21,awdzx,no,yes
6,Douglas,eleazar.effertz@gmail.com,+91 61279 05518,122051,88V1OY,2019-11-01 00:00:01 UTC,GSS006,g,transit,05-Sep-21,afas,no,no
7,Catherine,ariel.feil@hotmail.com,+91 82477 34725,400083,3KLOOK,2019-11-01 00:00:01 UTC,GSS007,s,delivered,03-Sep-21,awefaw,no,yes
8,Valerie,leda47@yahoo.com,+91 61279 68876,500029,UE3E48,2019-11-01 00:00:02 UTC,GSS008,f,pending,03-Sep-21,waead,yes,yes
9,Victor,hoeger.estrella@gmail.com,+91 61279 81529,400607,8XGXET,2019-11-01 00:00:02 UTC,GSS009,e,transit,06-Sep-21,waw,no,no
10,Melissa,chelsie.lueilwitz@hotmail.com,+91 62591 27053,248001,MDCG4O,2019-11-01 00:00:02 UTC,GSS010,a,delivered,06-Sep-21,awdzx,yes,no
11,Matthew,shagenes@zemlak.com,+91 80796 66448,560097,WGEPW2,2019-11-01 00:00:03 UTC,GSS011,a,pending,07-Sep-21,afas,yes,yes
12,Katherine,tromp.cydney@yahoo.com,+91 79790 02495,560067,F839YN,2019-11-01 00:00:03 UTC,GSS012,b,transit,07-Sep-21,awefaw,no,yes
13,Alyssa,mschamberger@yahoo.com,+91 86178 13688,560067,AAAEZ3,2019-11-01 00:00:03 UTC,GSS013,c,delivered,08-Sep-21,waead,no,no
14,Lisa,patsy47@witting.org,+91 89176 83568,560077,5P0TL9,2019-11-01 00:00:04 UTC,GSS014,a,pending,07-Sep-21,waw,no,yes
15,Charles,wreilly@satterfield.com,+91 79313 00003,560080,SFW3GO,2019-11-01 00:00:05 UTC,GSS015,f,transit,31-Aug-21,awdzx,no,yes
16,Jessica,konopelski.camren@gmail.com,+91 88478 19130,600083,BOK8DT,2019-11-01 00:00:06 UTC,GSS016,g,delivered,01-Sep-21,afas,yes,no
17,Patricia,josiane.kassulke@weber.com,+91 61279 05221,700156,CHGH00,2019-11-01 00:00:07 UTC,GSS017,s,pending,06-Sep-21,awefaw,no,no
18,John,sylvan.gutkowski@vandervort.com,+91 80799 97392,614601,F2YVDO,2019-11-01 00:00:07 UTC,GSS018,f,transit,06-Sep-21,waead,yes,yes
19,Dr.,pgoldner@lubowitz.com,+91 61279 61158,600004,TLSL7J,2019-11-01 00:00:07 UTC,GSS019,e,delivered,06-Sep-21,waw,yes,yes
20,Tracie,qschmeler@yahoo.com,+91 788 777 9880,411027,800RMM,2019-11-01 00:00:08 UTC,GSS020,a,pending,05-Sep-21,awdzx,no,no
21,Danielle,vschultz@windler.com,+91 61279 74002,560103,1YG3EF,2019-11-01 00:00:08 UTC,GSS021,a,transit,04-Sep-21,afas,no,yes
22,Gina,josephine66@yahoo.com,+91 63190 87282,144205,7E30MY,2019-11-01 00:00:08 UTC,GSS022,b,delivered,31-Aug-21,awefaw,no,yes
23,Micheal,destiny.green@gmail.com,+91 87081 26487,682041,7W25UY,2019-11-01 00:00:08 UTC,GSS023,c,pending,01-Sep-21,waead,no,no
24,Candace,doyle.ellsworth@yahoo.com,+91 88478 19982,400708,P6ZD45,2019-11-01 00:00:08 UTC,GSS024,a,transit,04-Sep-21,waw,yes,no
25,Gina,metz.karlee@hotmail.com,+91 61279 99636,500008,TY050A,2019-11-01 00:00:09 UTC,GSS025,f,delivered,02-Sep-21,awdzx,no,yes
26,Michelle,adalberto37@yahoo.com,+91 61279 13327,201301,CTDYIL,2019-11-01 00:00:09 UTC,GSS026,g,pending,04-Sep-21,afas,yes,yes
27,Lisa,yeichmann@yahoo.com,+91 62105 71188,180020,BLA90A,2019-11-01 00:00:09 UTC,GSS027,s,transit,06-Sep-21,awefaw,yes,no
